ControlPointId,PointType,ChooserName,DateTime,EditLock,Ignored,AprioriSurfacePointSource,AprioriSurfacePointSourceFile,AprioriRadiusSource,AprioriRadiusSourceFile,AprioriX,AprioriY,AprioriZ,AprioriXSigma,AprioriYSigma,AprioriZSigma,AprioriLatitude,AprioriLongitude,AprioriLocalRadius,AprioriLatitudeSigma,AprioriLongitudeSigma,AprioriLocalRadiusSigma,AprioriLatitudeSigmaDistance,AprioriLongitudeSigmaDistance,AdjustedX,AdjustedY,AdjustedZ,AdjustedXSigma,AdjustedYSigma,AdjustedZSigma,AdjustedLatitude,AdjustedLongitude,AdjustedLocalRadius,AdjustedLatitudeSigma,AdjustedLongitudeSigma,AdjustedLocalRadiusSigma,AdjustedLatitudeSigmaDistance,AdjustedLongitudeSigmaDistance,MinimumResidual,MaximumResidual,AverageResidual,MinimumSampleResidual,MaximumSamlpeResidual,MinimumLineResidual,MaximumLineResidual,MaximumSampleShift,MinimumSampleShift,AverageSampleShift,MaximumLineShift,MinimumLineShift,AverageLineShift,MaximumPixelShift,MinimumPixelShift,AveragePixelShift,MinimumPixelZScore,AveragePixelZScore,MaximumGoodnessOfFit,MinimumGoodnessOfFit,AverageGoodnessOfFit,AprioriLine,AprioriSample,ChooserName,CubeSerialNumber,DateTime,Line,LineResidual,LineSigma,Sample,SampleResidual,SampleSigma,ResidualMagnitude,MeasureType,Filename,Sample,Line,PixelValue,RightAscension,Declination,PlanetocentricLatitude,PlanetographicLatitude,PositiveEast360Longitude,PositiveEast180Longitude,PositiveWest360Longitude,PositiveWest180Longitude,BodyFixedCoordinateX,BodyFixedCoordinateY,BodyFixedCoordinateZ,LocalRadius,SampleResolution,LineResolution,SpacecraftPositionX,SpacecraftPositionY,SpacecraftPositionZ,SpacecraftAzimuth,SlantDistance,TargetCenterDistance,SubSpacecraftLatitude,SubSpacecraftLongitude,SpacecraftAltitude,OffNadirAngle,SubSpacecraftGroundAzimuth,SunPositionX,SunPositionY,SunPositionZ,SubSolarAzimuth,SolarDistance,SubSolarLatitude,SubSolarLongitude,SubSolarGroundAzimuth,Phase,Incidence,Emission,NorthAzimuth,EphemerisTime,UTC,LocalSolarTime,SolarLongitude,LookDirectionBodyFixedX,LookDirectionBodyFixedY,LookDirectionBodyFixedZ,LookDirectionJ2000X,LookDirectionJ2000Y,LookDirectionJ2000Z,LookDirectionCameraX,LookDirectionCameraY,LookDirectionCameraZ,ObliqueDetectorResolution,ObliquePixelResolution,ObliqueLineResolution,ObliqueSampleResolution
SG0001747,Free,seedgrid,2017-05-15T09:29:55,0,0,AverageOfMeasures,,AverageOfMeasures,,1539.998109392,49.980758601605,798.72135671921,0.0020029714907989,0.0029370698782733,0.0038716684194768,27.401226678217,1.8588864955692,1735.5252976666,1.44040616162278e-04,1.08995968198682e-04,5.54838242293776e-06,0.0043677940791992,0.0037228005666122,,,,,,,,,,,,,,,0.23236422066537,1.3003363262769,0.76635027347115,-1.2962994197424,0.21096457044405,-0.1023834743055,0.097401648152299,,,,,,,,,,6.164301618144,-4.9034678586964,0.78015000191077,0.735901638709,0.75802582030989,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:01:40.346,2015-10-14T16:22:26,1178.05,0.0974016,,276.863,0.210965,,0.232364,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0585_msk.cub,276.86290095874,1178.0479660624,21568.002,270.52477110999,-22.470969407948,27.37023038853,27.37023038853,1.9206628078574,1.9206628078574,358.07933719214,-1.9206628078574,1540.2588064208,51.651734761626,797.82751881743,1735394.4341973,9.0469416826556,9.0469416826556,1653.2166892874,130.2471626852,798.17884218968,33.570751989196,137.61122054654,1840.4290829166,25.702074744054,4.5046907852848,101.76126832943,38.842187526059,125.23055756135,46143614.723493,144765685.7718,609774.91031563,6.5157335383347,1.015673481715,0.22993884037542,72.320479842062,99.086030345892,37.490938918101,72.558365293932,41.692863956176,269.69091781983,-896911058.47072,1971-07-31T14:01:40.3459999,7.3066788643864,171.71689473945,-0.82084791064262,-0.57114112941826,-0.0025530139973542,0.008463454059171,-0.92403455313985,-0.38221527252193,0.52797250875243,-0.34389097557528,-0.77652046136566,12.115557655846,12.115557655846,12.115557655846,12.115557655846
SG0001747,Free,seedgrid,2017-05-15T09:29:55,0,0,AverageOfMeasures,,AverageOfMeasures,,1539.998109392,49.980758601605,798.72135671921,0.0020029714907989,0.0029370698782733,0.0038716684194768,27.401226678217,1.8588864955692,1735.5252976666,1.44040616162278e-04,1.08995968198682e-04,5.54838242293776e-06,0.0043677940791992,0.0037228005666122,,,,,,,,,,,,,,,0.23236422066537,1.3003363262769,0.76635027347115,-1.2962994197424,0.21096457044405,-0.1023834743055,0.097401648152299,,,,,,,,,,6.164301618144,-4.9034678586964,0.78015000191077,0.735901638709,0.75802582030989,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:02:03.751,2015-10-14T16:22:26,1168.04,-0.102383,,1539.59,-1.2963,,1.30034,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0586_msk.cub,1539.5875371865,1168.0376959281,20264.551,253.90514027311,-22.167382340383,27.372157098878,27.372157098878,1.9143166595094,1.9143166595094,358.08568334049,-1.9143166595094,1540.2377858865,51.480240074949,797.87938528177,1735394.5273765,7.982859082936,7.982859082936,1654.7012155895,91.958730823336,799.83107582447,52.849335196409,121.42567293872,1840.1690875848,25.763079618954,3.1808962717102,104.78980689347,29.390151544995,144.56806495588,46151978.170653,144763035.74716,609759.44919341,6.9379242433175,1.0156735841835,0.229932987072,72.31717154243,99.085102937746,52.843573166343,72.561336267335,31.357966038979,268.90830368087,-896911035.06572,1971-07-31T14:02:03.751,7.3064763411386,171.71715552611,-0.94266251059437,-0.33336023403233,-0.016073129310065,-0.25673726290275,-0.88978671278559,-0.3773136408711,0.3027514445119,-0.3876303465836,-0.87068035308798,9.3483458146405,9.3483458146405,9.3483458146405,9.3483458146405
SG0001748,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1536.4426253817,49.902033389469,805.78800082709,0.0016942743112203,0.0022946633549602,0.0032136285228845,27.662361300574,1.860252460313,1735.6383426,1.19837477448043e-04,8.56853122572356e-05,4.53620391153483e-06,0.0036338738226031,0.0029335771422104,,,,,,,,,,,,,,,1.856701093297,2.488412887575,2.172556990436,-0.78035875526894,2.4490680744257,-1.6847489910742,-0.44075420120316,,,,,,,,,,4.5214525699181,-3.1066601829952,0.83011528257595,0.80098033970673,0.81554781114134,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:01:40.346,2015-10-14T16:22:26,900.877,-0.440754,,275.558,2.44907,,2.48841,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0585_msk.cub,275.55771279161,900.87745806482,21469.609,269.71463640246,-19.586176169448,27.630686698436,27.630686698436,1.9228999581114,1.9228999581114,358.07710004189,-1.9228999581114,1536.6984535774,51.592409205683,804.86803517738,1735487.3862881,9.2526519802018,9.2526519802018,1653.2166892874,130.2471626852,798.17884218968,37.652008131448,140.74023874045,1840.4290829166,25.702074744054,4.5046907852848,101.76126832943,40.304420063362,129.30724905556,46143614.723493,144765685.7718,609774.91031563,6.4145500293826,1.0156734891316,0.22993884037542,72.320479842062,99.167862276913,38.400076594731,72.597720504876,43.311337342615,269.87605788662,-896911058.47072,1971-07-31T14:01:40.3459999,7.3068280077367,171.71689473945,-0.82789568038796,-0.55886471547465,0.047528646018845,-0.0046923330589334,-0.94212667503582,-0.33522426850753,0.51743522906454,-0.39227755994549,-0.76051239285506,12.716026671668,12.716026671668,12.716026671668,12.716026671668
SG0001748,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1536.4426253817,49.902033389469,805.78800082709,0.0016942743112203,0.0022946633549602,0.0032136285228845,27.662361300574,1.860252460313,1735.6383426,1.19837477448043e-04,8.56853122572356e-05,4.53620391153483e-06,0.0036338738226031,0.0029335771422104,,,,,,,,,,,,,,,1.856701093297,2.488412887575,2.172556990436,-0.78035875526894,2.4490680744257,-1.6847489910742,-0.44075420120316,,,,,,,,,,4.5214525699181,-3.1066601829952,0.83011528257595,0.80098033970673,0.81554781114134,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:02:03.751,2015-10-14T16:22:26,887.1,-1.68475,,1534.92,-0.780359,,1.8567,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0586_msk.cub,1534.9193999105,887.10031743498,20368.162,253.79285242979,-18.868140653357,27.633001592726,27.633001592726,1.9159698808088,1.9159698808088,358.08403011919,-1.9159698808087,1536.6727713401,51.405473544291,804.93046533647,1735488.0532332,8.2116062522245,8.2116062522245,1654.7012155895,91.958730823336,799.83107582447,56.851515516361,124.90510038134,1840.1690875848,25.763079618954,3.1808962717102,104.78980689347,31.985181230553,148.5673949254,46151978.170653,144763035.74716,609759.44919341,6.9006111192053,1.015673591709,0.229932987072,72.31717154243,99.16674391843,53.403113631788,72.601259874285,34.170004592373,269.02289603353,-896911035.06572,1971-07-31T14:02:03.751,7.3065865558919,171.71715552611,-0.94494495332111,-0.32467254864081,0.040826111155051,-0.26411296629395,-0.90865967783035,-0.32339129691543,0.29586646379054,-0.44005728738914,-0.8478281780053,9.9248938038624,9.9248938038624,9.9248938038624,9.9248938038624
SG0001749,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1533.1412042161,49.800324884642,813.15314503308,0.0022537262541053,0.0028652495221626,0.0042495623309406,27.928247769393,1.8604584651327,1736.1509328687,1.58809547281237e-04,1.06898273229482e-04,5.77754719775898e-06,0.0048156375529095,0.0036688013932166,,,,,,,,,,,,,,,1.7640368761907,1.8076046341903,1.7858207551905,1.1376413209409,1.2804072545077,-1.4047087735307,1.2134180496287,,,,,,,,,,1.8872331327646,-5.2518316463651,0.97294066279216,0.93383578653057,0.95338822466136,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:01:40.346,2015-10-14T16:22:26,612.164,1.21342,,263.064,1.28041,,1.76404,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0585_msk.cub,263.06387133613,612.16409319054,26229.477,269.0474426634,-16.712703856804,27.893985422345,27.893985422345,1.9247814995093,1.9247814995093,358.07521850049,-1.9247814995092,1533.4730426654,51.534535419842,812.18433880318,1736041.1231073,9.4656729992674,9.4656729992674,1653.2166892874,130.2471626852,798.17884218968,41.347229488658,143.98045885726,1840.4290829166,25.702074744054,4.5046907852848,101.76126832943,41.963615793213,132.99802382788,46143614.723493,144765685.7718,609774.91031563,6.3276378992987,1.0156734958518,0.22993884037542,72.320479842062,99.250185201101,39.372488738028,72.638214874635,45.14263708812,270.04469868378,-896911058.47072,1971-07-31T14:01:40.3459999,7.3069534438298,171.71689473945,-0.83166596059218,-0.54668965420784,0.097273593407484,-0.015922256597604,-0.95762639764968,-0.28757288514276,0.507152178562,-0.43894186967877,-0.74170526681608,13.419933430784,13.419933430784,13.419933430784,13.419933430784
SG0001749,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1533.1412042161,49.800324884642,813.15314503308,0.0022537262541053,0.0028652495221626,0.0042495623309406,27.928247769393,1.8604584651327,1736.1509328687,1.58809547281237e-04,1.06898273229482e-04,5.77754719775898e-06,0.0048156375529095,0.0036688013932166,,,,,,,,,,,,,,,1.7640368761907,1.8076046341903,1.7858207551905,1.1376413209409,1.2804072545077,-1.4047087735307,1.2134180496287,,,,,,,,,,1.8872331327646,-5.2518316463651,0.97294066279216,0.93383578653057,0.95338822466136,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:02:03.751,2015-10-14T16:22:26,594.523,-1.40471,,1524.8,1.13764,,1.8076,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0586_msk.cub,1524.8006025697,594.5230663677,23849.262,253.7522607635,-15.626918391272,27.897100713291,27.897100713291,1.9174451951009,1.9174451951009,358.0825548049,-1.9174451951009,1533.4231051158,51.33629270992,812.2612019288,1736027.1007133,8.448154793335,8.448154793335,1654.7012155895,91.958730823336,799.83107582447,60.151355606397,128.50319293046,1840.1690875848,25.763079618954,3.1808962717102,104.78980689347,34.673520539685,151.86424137241,46151978.170653,144763035.74716,609759.44919341,6.8499589247509,1.0156735985511,0.229932987072,72.31717154243,99.249088362783,54.023489945155,72.642232155518,37.087002446534,269.14496763759,-896911035.06572,1971-07-31T14:02:03.751,7.306684910178,171.71715552611,-0.94377507443996,-0.3161200682025,0.096730095345235,-0.26944896600404,-0.92457331748466,-0.26937229871454,0.28919281815184,-0.49009255803953,-0.82229970113314,10.590366158436,10.590366158436,10.590366158436,10.590366158436
SG0001750,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1529.0538847957,49.746803611559,819.87579889881,0.0021595783333867,0.0027806722108501,0.0040299848043882,28.187505129762,1.8634247604775,1735.7064419706,1.5099877855756e-04,1.04006303392534e-04,4.97789318553775e-06,0.0045787888758194,0.0035781669905396,,,,,,,,,,,,,,,0.33550918123949,1.0009391990839,0.66822419016169,0.012728151028568,0.3318276479049,-1.0008582689043,0.049566347272048,,,,,,,,,,2.7675149867826,-4.0741861945833,0.95212637293316,0.91094014219041,0.93153325756178,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:01:40.346,2015-10-14T16:22:26,352.974,-1.00086,,278.02,0.0127282,,1.00094,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0585_msk.cub,278.0197177143,352.97401100325,19237.035,268.23553884865,-14.240984629439,28.152350613077,28.152350613077,1.9280881656,1.9280881656,358.0719118344,-1.9280881656,1529.3985714099,51.48597186695,818.8830783337,1735592.2019619,9.7430056193651,9.7430056193651,1653.2166892874,130.2471626852,798.17884218968,44.607930302724,148.19890987504,1840.4290829166,25.702074744054,4.5046907852848,101.76126832943,43.32106927442,136.25548671518,46143614.723493,144765685.7718,609774.91031563,6.2780729467078,1.0156735042527,0.22993884037542,72.320479842062,99.331512151271,40.578615417154,72.67704630198,46.679583529378,270.16608051847,-896911058.47072,1971-07-31T14:01:40.3459999,7.3071738882359,171.71689473945,-0.83548602335828,-0.53145593907987,0.13970572497109,-0.029844576856515,-0.9688100514201,-0.24600078353459,0.49351201035642,-0.47908157036696,-0.72589719972506,14.201024856421,14.201024856421,14.201024856421,14.201024856421
SG0001750,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1529.0538847957,49.746803611559,819.87579889881,0.0021595783333867,0.0027806722108501,0.0040299848043882,28.187505129762,1.8634247604775,1735.7064419706,1.5099877855756e-04,1.04006303392534e-04,4.97789318553775e-06,0.0045787888758194,0.0035781669905396,,,,,,,,,,,,,,,0.33550918123949,1.0009391990839,0.66822419016169,0.012728151028568,0.3318276479049,-1.0008582689043,0.049566347272048,,,,,,,,,,2.7675149867826,-4.0741861945833,0.95212637293316,0.91094014219041,0.93153325756178,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:02:03.751,2015-10-14T16:22:26,333.686,0.0495663,,1529.81,0.331828,,0.335509,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0586_msk.cub,1529.8053038208,333.68591898576,17918.854,253.55544857311,-12.880657925917,28.154121595638,28.154121595638,1.9208887643032,1.9208887643032,358.0791112357,-1.9208887643032,1529.3901209081,51.293297565527,818.93594109097,1735603.992827,8.7518269158674,8.7518269158674,1654.7012155895,91.958730823336,799.83107582447,62.840919083474,133.12228885188,1840.1690875848,25.763079618954,3.1808962717102,104.78980689347,36.933281954128,154.55208111978,46151978.170653,144763035.74716,609759.44919341,6.8087480830996,1.0156736068345,0.229932987072,72.31717154243,99.330053090045,54.80376939314,72.680721688761,39.574886138558,269.24655972053,-896911035.06572,1971-07-31T14:02:03.751,7.3069144814582,171.71715552611,-0.9413231680601,-0.30547426436648,0.14351364772398,-0.27596383807244,-0.93495998295681,-0.22292104060792,0.28016940301208,-0.5313838633739,-0.79946000235263,11.354321931501,11.354321931501,11.354321931501,11.354321931501
SG0001751,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1525.243752397,49.615939663042,826.89693357808,0.0028067366526984,0.0033620101754528,0.0051867368575579,28.451236573192,1.8631656973842,1735.6810722179,1.94825850264293e-04,1.25932105280662e-04,6.09895920716922e-06,0.005907772529247,0.0043432483123632,,,,,,,,,,,,,,,2.2068303616237,2.5481484302173,2.3774893959205,-0.025943495082174,1.4121898781177,-2.5480163573811,1.6958242813234,,,,,,,,,,2.4179565699149,-4.638575227546,0.94829717641976,0.94829717641976,0.94829717641976,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:01:40.346,2015-10-14T16:22:26,82.6746,-2.54802,,280.196,-0.0259435,,2.54815,Candidate,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0585_msk.cub,280.19585254114,82.674600686629,20868.119,267.56912310145,-11.789885067694,28.413045840788,28.413045840788,1.9303631965911,1.9303631965911,358.06963680341,-1.9303631965911,1525.6881852157,51.421713604776,825.8541962549,1735627.778243,10.022892293217,10.022892293217,1653.2166892874,130.2471626852,798.17884218968,47.542374900202,152.45621009366,1840.4290829166,25.702074744054,4.5046907852848,101.76126832943,44.824810923073,139.18689908497,46143614.723493,144765685.7718,609774.91031563,6.2765789810288,1.0156735120072,0.22993884037542,72.320479842062,99.412821993605,41.762330520554,72.717523187776,48.374923360186,270.24100253379,-896911058.47072,1971-07-31T14:01:40.3459999,7.3073255569686,171.71689473945,-0.83649268201877,-0.5170366561782,0.18152985731585,-0.041519288788973,-0.97802257747228,-0.20432324051102,0.48080273997564,-0.51744417702285,-0.70787022037734,15.088958103934,15.088958103934,15.088958103934,15.088958103934
SG0001751,Free,seedgrid,2017-05-15T10:31:07,0,0,AverageOfMeasures,,AverageOfMeasures,,1525.243752397,49.615939663042,826.89693357808,0.0028067366526984,0.0033620101754528,0.0051867368575579,28.451236573192,1.8631656973842,1735.6810722179,1.94825850264293e-04,1.25932105280662e-04,6.09895920716922e-06,0.005907772529247,0.0043432483123632,,,,,,,,,,,,,,,2.2068303616237,2.5481484302173,2.3774893959205,-0.025943495082174,1.4121898781177,-2.5480163573811,1.6958242813234,,,,,,,,,,2.4179565699149,-4.638575227546,0.94829717641976,0.94829717641976,0.94829717641976,,,jigsaw,APOLLO15/METRIC/1971-07-31T14:02:03.751,2015-10-14T16:22:26,62.0482,1.69582,,1527.23,1.41219,,2.20683,RegisteredSubPixel,/work/projects/IPCE/IpceData/Apollo15/AS15-M-0586_msk.cub,1527.2267626577,62.048155945261,19223.727,253.45482938288,-10.195131735816,28.414800481084,28.414800481084,1.9218601211187,1.9218601211187,358.07813987888,-1.9218601211187,1525.6611551274,51.194128233311,825.89587477999,1735617.1222389,9.0602169538147,9.0602169538147,1654.7012155895,91.958730823336,799.83107582447,65.087528144695,137.81314804108,1840.1690875848,25.763079618954,3.1808962717102,104.78980689347,39.236290730962,156.79610337,46151978.170653,144763035.74716,609759.44919341,6.769686600985,1.0156736148507,0.229932987072,72.31717154243,99.410661517228,55.565645885977,72.722320514933,42.115123157183,269.34501451415,-896911035.06572,1971-07-31T14:02:03.751,7.3069792385792,171.71715552611,-0.93634070693819,-0.29579617888035,0.18913143866174,-0.28027481543407,-0.94345992655595,-0.17700111529714,0.2721543059875,-0.57051489775895,-0.77488372364345,12.213845938293,12.213845938293,12.213845938293,12.213845938293
